"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-06-20 ~ 2026-06-27"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"72","강원특별자치도 강릉시 입암동","711","0711","0000","강릉더샵","84.9400","202606","26","32,500","-","9","개인","개인","2014","입암로29번길 11","-","중개거래","강원 강릉시","-"
"73","부산광역시 동래구 낙민동","186-13","0186","0013","제일아파트","84.3650","202606","26","28,500","-","1","개인","개인","1995","낙민로 14","-","중개거래","부산 동래구","-"
"74","광주광역시 서구 쌍촌동","155","0155","0000","현대","59.3600","202606","26","14,200","-","5","개인","개인","1997","내방로240번길 10","-","중개거래","광주 서구","-"
"75","경기도 고양시 일산서구 주엽동","128","0128","0000","문촌마을18단지대원","130.4400","202606","26","83,000","-","6","개인","개인","1995","주엽로 97","-","중개거래","경기 고양시 일산서구","-"
"76","강원특별자치도 강릉시 홍제동","1044","1044","0000","엘에이치미디어촌6단지","59.9500","202606","26","33,000","-","25","개인","개인","2018","선수촌로 10","-","중개거래","강원 강릉시","-"
"77","부산광역시 사상구 모라동","1362","1362","0000","우신모라","78.8400","202606","26","17,500","-","11","개인","개인","1992","백양대로 880","-","중개거래","부산 사상구","-"
"78","경기도 안성시 중리동","616","0616","0000","동광","59.8540","202606","26","13,000","-","7","개인","개인","2007","서운로 791-9","-","중개거래","경기 안성시","-"
"79","경기도 남양주시 오남읍 오남리","683-30","0683","0030","진주(8차)","39.5400","202606","26","11,500","-","1","개인","개인","1990","진건오남로 631","-","중개거래","경기 남양주시","-"
"80","경기도 용인시 처인구 역북동","808","0808","0000","골드클래스","83.7764","202606","26","52,900","-","7","개인","개인","2017","명지로40번길 35-29","-","중개거래","경기 용인시 처인구","-"
"81","경기도 남양주시 별내동","871","0871","0000","별내푸르지오","84.7209","202606","26","58,000","-","1","개인","개인","2015","송산로307번길 22","-","중개거래","경기 남양주시","-"
"82","부산광역시 동래구 온천동","1600","1600","0000","새온천화신동영","59.4000","202606","26","12,500","-","9","개인","개인","1995","쇠미로129번길 62-12","-","직거래","-","-"
